date,created_at,href,title
2017-12-28,2018-01-10 18:53:20.850058,/art/2017/12/28/art_1389544_14709699.html,松阳县省外住院实现刷卡结算便民惠民
2017-12-28,2018-01-10 18:53:20.853325,/art/2017/12/28/art_1389544_14709652.html,江北区为群众提供“便携式”就业创业服务
2017-12-28,2018-01-10 18:53:20.855326,/art/2017/12/28/art_1389544_14708745.html,江北区“自主化”评价机制激活技能人才成长通道
2017-12-28,2018-01-10 18:53:20.857558,/art/2017/12/28/art_1389544_14708542.html,缙云县：大力开发公益性岗位，助力脱贫攻坚
2017-12-28,2018-01-10 18:53:20.861799,/art/2017/12/28/art_1389544_14708515.html,江北区新增区级技能大师工作室一家
2017-12-28,2018-01-10 18:53:20.865529,/art/2017/12/28/art_1389544_14708440.html,舟山市组团赴省外开展人力资源对接服务
2017-12-28,2018-01-10 18:53:20.868062,/art/2017/12/28/art_1389544_14708317.html,缙云县：个人档案实现数字化管理
2017-12-28,2018-01-10 18:53:20.870035,/art/2017/12/28/art_1389544_14708061.html,提升业务培训，加速“最多跑一次”——缙云县人力社保局对劳动保障协理员进行业务提升...
2017-12-28,2018-01-10 18:53:20.872265,/art/2017/12/28/art_1389544_14707955.html,舟山市就业局开展乡镇（街道）公共就业服务事项标准化培训
2017-12-28,2018-01-10 18:53:20.876566,/art/2017/12/28/art_1389544_14707927.html,云和县:“最多跑一次”改革 落地有声暖人心
2017-12-28,2018-01-10 18:53:22.979303,/art/2017/12/28/art_1389544_14707894.html,庆元县局成功举办初级育婴员培训班
2017-12-26,2018-01-10 18:53:22.983706,http://www.zjhrss.gov.cn/art/2017/12/26/art_1392230_10072.html,浙江省人力资源和社会保障厅关于公布卓未龙等399人具有高级经济师职务任职资格的通...
2017-12-15,2018-01-10 18:53:22.986360,/art/2017/12/15/art_1389544_14302161.html,湖州市第四届创业大赛决赛上演“巅峰对决”
2017-12-14,2018-01-10 18:53:22.988806,/art/2017/12/14/art_1389544_14233267.html,让政策“动起来”，让群众“享受起来”——缙云县就业处：微信公众号功能全面升级啦！
2017-12-14,2018-01-10 18:53:22.991429,/art/2017/12/14/art_1389544_14233264.html,缙云：创业贷款，利息政府来买单
2017-12-14,2018-01-10 18:53:22.994028,/art/2017/12/14/art_1389544_14233261.html,缙云县就业处：延伸乡镇基层平台，全力推进“全市通办”
2017-12-14,2018-01-10 18:53:22.998270,/art/2017/12/14/art_1389544_14233258.html,江北区“以赛代评”模式助力人才倍增效应
2017-12-14,2018-01-10 18:53:23.001702,/art/2017/12/14/art_1389544_14233251.html,温州市区大学生驿站开站
2017-12-14,2018-01-10 18:53:23.004883,/art/2017/12/14/art_1389544_14233243.html,衢江区首届全民创业创新大赛决赛圆满落幕
2017-12-14,2018-01-10 18:53:23.008409,/art/2017/12/14/art_1389544_14233240.html,省人社厅副厅长陈中实地考察舟山市人力社保综合服务大厅
2010-05-21,2018-01-10 18:53:25.102660,/art/2010/5/21/art_1389544_14290041.html,关于开展2010年春风行动的通知
2010-05-21,2018-01-10 18:53:25.109942,/art/2010/5/21/art_1389544_14290036.html,浙江省2010年就业援助月活动总结
2010-05-21,2018-01-10 18:53:25.113814,/art/2010/5/21/art_1389544_14290042.html,人社部等下发关于实施2010高校毕业生就业推进行动大力促进高校毕业生就业的通知
2010-05-21,2018-01-10 18:53:25.116621,/art/2010/5/21/art_1389544_14290040.html,关于实施大学生创业引领计划的通知
2010-05-10,2018-01-10 18:53:25.119424,/art/2010/5/10/art_1389544_14290034.html,关于积极应对当前经济形势做好稳定和促进就业工作的实施意见
2010-05-10,2018-01-10 18:53:25.124852,/art/2010/5/10/art_1389544_14290033.html,国家促进普通高校毕业生就业政策百问
2010-05-10,2018-01-10 18:53:25.129353,/art/2010/5/10/art_1389544_14290035.html,国务院办公厅关于加强普通高等学校毕业生就业工作通知
2010-02-09,2018-01-10 18:53:25.132749,/art/2010/2/9/art_1389544_14290032.html,我厅主办“新春送温暖，维稳促发展”新春文艺演出活动 为农民工送上浓浓的祝福
2005-04-30,2018-01-10 18:53:25.135698,/art/2005/4/30/art_1389544_14290026.html,关于为外国籍高层次人才和投资者在浙就业提供便利的通知
2005-04-30,2018-01-10 18:53:25.138253,/art/2005/4/30/art_1389544_14290027.html,关于启用新的台湾、香港、澳门人员在浙就业申请登记表的通知
2005-04-30,2018-01-10 18:53:27.236667,/art/2005/4/30/art_1389544_14290028.html,关于外国人和台、港、澳人员在浙就业管理授权问题的通知
2005-04-30,2018-01-10 18:53:27.240460,/art/2005/4/30/art_1389544_14290031.html,关于外国人和台港澳人员在浙就业授权管理申报和审批工作的通知
2005-04-30,2018-01-10 18:53:27.242975,/art/2005/4/30/art_1389544_14290024.html,关于印发浙江省《境外就业中介管理规定》实施办法的通知
2005-04-30,2018-01-10 18:53:27.245127,/art/2005/4/30/art_1389544_14290030.html,关于浙江省《境外就业中介管理规定》实施办法中有关资格认定的执行意见
2005-04-29,2018-01-10 18:53:27.247980,/art/2005/4/29/art_1389544_14290023.html,境外就业中介机构年度审核表
2005-04-29,2018-01-10 18:53:27.250270,/art/2005/4/29/art_1389544_14290021.html,境外就业中介机构资格申请表
2005-04-29,2018-01-10 18:53:27.252525,/art/2005/4/29/art_1389544_14290022.html,境外就业中介机构经营许可证
2005-04-28,2018-01-10 18:53:27.256282,/art/2005/4/28/art_1389544_14290019.html,宁波市开展“再就业援助月活动”落实“春风行动”情况
2005-04-28,2018-01-10 18:53:27.259151,/art/2005/4/28/art_1389544_14290020.html,浙江省开展2005再就业援助活动月情况
